Name,Latitude,Longitude,Elevation,Region,Oblast
гора Стой,48.6473,23.1091,1681,Полонина Боржава,Закарпатська
гора Великий Верх,48.6654,23.2384,1598,Полонина Боржава,Закарпатська
гора Темнатик,48.7214,23.1706,1343,Полонина Боржава,Закарпатська
гора Кук,48.7188,23.3644,1190,Полонина Боржава,Закарпатська
г. Гемба,48.6695,23.2505,1491,Полонина Боржава,Закарпатська
г. Плай,48.6725,23.3108,1330,Полонина Боржава,Закарпатська
Міжгір'я (долина),48.529,23.5135,500,Долина Ріки Ріка,Закарпатська
Воловець (долина),48.7145,23.2081,700,Долина,Закарпатська
Свалява (долина),48.5392,23.0366,450,Долина,Закарпатська
с. Пилипець,48.6859,23.3276,720,Долина,Закарпатська
г. Магура-Жиде,48.455,23.013,1517,Східні Карпати,Закарпатська
г. Пікуй (найвища точка Львівщини),48.8105,22.956,1408,Вододільний хребет,Львівська/Закарпатська
с. Верхній Студений,48.6942,23.2848,900,Долина,Закарпатська
с. Подобовець,48.6903,23.3115,750,Долина,Закарпатська
г. Менчул,48.6698,23.1554,1248,Полонина Боржава,Закарпатська
г. Драгобрат,48.242,24.237,1763,Свидовець,Закарпатська
Ясіня (долина),48.2713,24.3822,650,Долина Чорної Тиси,Закарпатська
Рахів (долина),48.0537,24.2052,430,Долина Тиси,Закарпатська
г. Петрос,48.1633,24.4172,2020,Чорногора,Закарпатська
г. Говерла (вища),48.1659,24.5029,2061,Чорногора,Івано-Франківська/Закарпатська
с. Кваси,48.1689,24.3312,560,Долина Чорної Тиси,Закарпатська
Мукачево (рівнина),48.4414,22.719,150,Закарпатська низовина,Закарпатська
Ужгород (рівнина),48.621,22.2882,120,Закарпатська низовина,Закарпатська
Хуст (долина),48.172,23.3082,180,Долина Тиси,Закарпатська
Виноградів (рівнина),48.1408,23.0315,130,Закарпатська низовина,Закарпатська
Берегове (рівнина),48.2046,22.6468,110,Закарпатська низовина,Закарпатська
с. Сойми,48.583,23.4735,600,Долина Ріки Ріка,Закарпатська
г. Синяк,48.4582,23.0031,1663,Полонина Рівна,Закарпатська
г. Попадя,48.4682,23.5181,1413,Горган,Закарпатська
г. Грофа,48.6268,23.8643,1748,Горган,Івано-Франківська
с. Колочава,48.552,23.682,620,Долина,Закарпатська
озеро Синевир,48.6083,23.6833,989,Верхів'я Тереблі,Закарпатська
с. Синевирська Поляна,48.6083,23.7001,800,Долина,Закарпатська
г. Борсучка,48.5995,23.332,1065,Полонина Боржава,Закарпатська
г. Кам'янка,48.6201,23.1119,1578,Полонина Боржава,Закарпатська
г. Широкий Грунь,48.5772,23.5599,1399,Верхів'я Ріки,Закарпатська
г. Ігровець,48.6033,23.1091,1630,Полонина Боржава,Закарпатська
г. Острий,48.6309,23.078,1405,Полонина Боржава,Закарпатська
г. Плішка,48.647,23.149,1586,Полонина Боржава,Закарпатська
с. Верхнє Водяне,48.0645,24.088,400,Долина,Закарпатська
с. Ділове,47.9658,24.168,340,Долина Тиси,Закарпатська
г. Лисина,48.3305,23.2081,1092,Карпати,Закарпатська
г. Маковиця,48.423,23.447,1001,Карпати,Закарпатська
г. Бужора,48.3312,23.2848,1121,Карпати,Закарпатська
г. Парангі,48.2255,23.5992,1118,Карпати,Закарпатська
г. Городище,48.5132,23.1554,800,Карпати,Закарпатська
с. Нижній Бистрий,48.2917,23.4111,380,Долина,Закарпатська
с. Усть-Чорна,48.3582,23.9004,500,Долина,Закарпатська
г. Апецька,48.2045,24.1115,1511,Мараморош,Закарпатська
с. Яблуниця (перевал),48.332,24.4608,931,Яблуницький перевал,Закарпатська/Івано-Франківська
Тячів (місто),48.0264,23.5617,215,Долина Тиси,Закарпатська
Іршава (місто),48.4111,23.0336,156,Закарпатська низовина,Закарпатська
Солотвино (соляні шахти),47.9366,23.868,290,Долина Тиси,Закарпатська
Чоп (кордон),48.435,22.062,102,Закарпатська низовина,Закарпатська
Вишково (рівнина),48.083,23.364,185,Долина Тиси,Закарпатська
Кольчино (долина),48.4552,22.8466,130,Закарпатська низовина,Закарпатська
с. Яноші (рівнина),48.2393,22.693,105,Закарпатська низовина,Закарпатська
с. Шаян (долина),48.0694,23.3768,230,Долина,Закарпатська
с. Луги (долина),48.0163,24.4101,620,Долина,Закарпатська
с. Лазещина (долина),48.2435,24.469,700,Долина,Закарпатська
с. Сокирниця (долина),48.0837,23.4079,195,Долина,Закарпатська
Озеро Бребенескул (найвище),48.1136,24.5518,1801,Чорногора,Закарпатська
Озеро Апшинець,48.2252,24.2699,1487,Свидовець,Закарпатська
Озеро Ворожеска,48.3585,24.2885,1460,Свидовець,Закарпатська
Черемош (долина),48.028,24.6305,400,Долина,Закарпатська
г. Пожижевська,48.1585,24.5422,1822,Чорногора,Закарпатська
г. Туркул,48.136,24.529,1933,Чорногора,Закарпатська
г. Ребра,48.1172,24.545,2001,Чорногора,Закарпатська
г. Довбушанка,48.4414,24.4285,1754,Горган,Івано-Франківська
г. Стримба,48.5668,23.7056,1719,Горган,Закарпатська
г. Капун,48.6508,23.4735,1371,Полонина Боржава,Закарпатська
г. Полонина Руна,48.8689,22.7533,1479,Полонина Руна,Закарпатська
г. Остра Гора,48.7758,22.3788,1405,Вулканічний хребет,Закарпатська
Ужоцький перевал,48.9175,22.8717,889,Вододільний хребет,Закарпатська/Львівська
Латірський перевал,48.7495,23.1672,729,Полонина Боржава,Закарпатська
с. Келечин,48.6722,23.4475,650,Долина Ріки Ріка,Закарпатська
с. Лисичево,48.4682,23.1819,300,Долина,Закарпатська
